Unnamed: 0.1,Unnamed: 0,French,English
0,0,partie,part
1,1,histoire,history
2,2,chercher,search
3,3,seulement,only
4,4,police,police
5,5,pensais,thought
6,6,mois,month
7,7,frère,brother
8,8,laisser,let
9,10,mettre,to put
10,11,laisse,leash
11,12,eux,them
12,13,ville,city
13,14,chaque,each
14,15,parlé,speak
15,16,arrivé,come
16,17,devrait,should
17,18,bébé,baby
18,19,longtemps,long time
19,20,heures,hours
20,21,vont,will
21,23,revoir,meet again
22,24,aucune,any
23,25,place,square
24,26,parle,speak
25,27,compris,understood
26,28,savais,knew
27,29,étaient,were
28,31,voici,here is
29,32,pourrais,could
30,33,affaire,case
31,34,donner,give
32,35,type,type
33,36,leurs,their
34,37,donné,given
35,38,train,train
36,39,endroit,place
37,40,yeux,eyes
38,41,façon,way
39,42,écoute,listen
40,43,dont,whose
41,44,trouve,find
42,45,premier,first
43,46,perdu,lost
44,47,côté,side
45,48,pouvoir,power
46,49,vieux,old
47,50,tiens,here
48,51,tellement,so much
50,53,point,point
51,54,suite,after
52,55,venez,come
53,56,devant,in front of
54,57,vers,towards
55,58,minutes,minutes
56,59,demandé,request
57,60,chambre,bedroom
58,61,mis,placed
59,62,belle,beautiful
60,63,droit,law
61,64,aimerais,would like to
62,65,aujourd'hui,today
63,66,mari,husband
64,67,cause,cause
65,68,enfin,finally
66,69,espère,hope
67,70,eau,water
68,71,attendez,Wait
69,72,nouvelle,new
70,73,boulot,job
71,74,arrêter,Stop
72,75,dirait,would say
73,76,terre,Earth
74,77,donne,given
77,80,croire,believe
78,81,chérie,sweetheart
79,82,gros,large
80,83,plutôt,rather
81,84,aura,will have
82,85,filles,girls
83,86,jouer,to play
84,87,bureau,office
